ddc_class	classname
0	Informatik, Informationswissenschaft, allgemeine Werke
1	Philosophie und Psychologie
2	Religion
3	Sozialwissenschaften
4	Sprache
5	Naturwissenschaften und Mathematik
6	Technik, Medizin, angewandte Wissenschaften
7	Künste und Unterhaltung
8	Literatur
9	Geschichte und Geografie
00	Informatik, Wissen, Systeme
01	Bibliografien
02	Bibliotheks- und Informationswissenschaften
03	Enzyklopädien, Faktenbücher
04	[Unbesetzt]
05	Zeitschriften, fortlaufende Sammelwerke
06	Verbände, Organisationen, Museen
07	Publizistische Medien, Journalismus, Verlagswesen
08	Allgemeine Sammelwerke, Zitatensammlungen
09	Handschriften, seltene Bücher
10	Philosophie
11	Metaphysik
12	Epistemologie
13	Parapsychologie, Okkultismus
14	Philosophische Schulen
15	Psychologie
16	Logik
17	Ethik
18	Antike, mittelalterliche und östliche Philosophie
19	Neuzeitliche westliche Philosophie
20	Religion
21	Religionsphilosophie, Religionstheorie
22	Bibel
23	Christentum, Christliche Theologie
24	Christliche Erfahrung, christliches Leben
25	Christliche Pastoraltheologie, Ordensgemeinschaften
26	Kirchenorganisation, Sozialarbeit, Religionsausübung
27	Geschichte des Christentums
28	Christliche Konfessionen
29	Andere Religionen
30	Sozialwissenschaften, Soziologie
31	Statistiken
32	Politikwissenschaft
33	Wirtschaft
34	Recht
35	Öffentliche Verwaltung, Militärwissenschaft
36	Soziale Probleme, Sozialdienste
37	Bildung und Erziehung
38	Handel, Kommunikation, Verkehr
39	Bräuche, Etikette, Folklore
40	Sprache
41	Linguistik
42	Englisch, Altenglisch
43	Deutsch, germanische Sprachen allgemein
44	Französisch, romanische Sprachen allgemein
45	Italienisch, Rumänisch, Rätoromanisch
46	Spanisch, Portugiesisch
47	Latein, italische Sprachen
48	Griechisch
49	Andere Sprachen
50	Naturwissenschaften
51	Mathematik
52	Astronomie
53	Physik
54	Chemie
55	Geowissenschaften, Geologie
56	Fossilien, Paläontologie
57	Biowissenschaften; Biologie
58	Pflanzen (Botanik)
59	Tiere (Zoologie)
60	Technik
61	Medizin und Gesundheit
62	Ingenieurwissenschaften
63	Landwirtschaft
64	Hauswirtschaft und Familie
65	Management, Öffentlichkeitsarbeit
66	Chemische Verfahrenstechnik
67	Industrielle Fertigung
68	Industrielle Fertigung für einzelne Verwendungszwecke
69	Hausbau, Bauhandwerk
70	Künste
71	Landschaftsgestaltung, Raumplanung
72	Architektur
73	Bildhauerkunst, Keramik, Metallkunst
74	Zeichnung, angewandte Kunst
75	Malerei
76	Grafik
77	Fotografie, Computerkunst
78	Musik
79	Sport, Spiele, Unterhaltung
80	Literatur, Rhetorik, Literaturwissenschaft
81	Amerikanische Literatur in Englisch
82	Englische, altenglische Literaturen
83	Deutsche und verwandte Literaturen
84	Französische und verwandte Literaturen
85	Italienische, rumänische, rätoromanische Literaturen
86	Spanische, portugiesische Literaturen
87	Lateinische, italische Literaturen
88	Griechische Literaturen
89	Andere Literaturen
90	Geschichte
91	Geografie, Reisen
92	Biografie, Genealogie
93	Geschichte des Altertums (bis ca. 499), Archäologie
94	Geschichte Europas
95	Geschichte Asiens
96	Geschichte Afrikas
97	Geschichte Nordamerikas
98	Geschichte Südamerikas
99	Geschichte anderer Gebiete
000	Informatik, Informationswissenschaft, allgemeine Werke
001	Wissen
002	Das Buch
003	Systeme
004	Datenverarbeitung; Informatik
005	Computerprogrammierung, Programme, Daten
006	Spezielle Computerverfahren
007	[Unbesetzt]
008	[Unbesetzt]
009	[Unbesetzt]
010	Bibliografie
011	Bibliografien
012	Bibliografien von Einzelpersonen
013	[Unbesetzt]
014	Bibliografien anonymer und pseudonymer Werke
015	Bibliografien von Werken aus einzelnen Orten
016	Bibliografien von Werken über einzelne Themen
017	Allgemeine Sachkataloge
018	Kataloge nach Autor, Erscheinungsjahr usw.
019	Kreuzkataloge
020	Bibliotheks- und Informationswissenschaften
021	Beziehungen zwischen Bibliotheken
022	Verwaltung von Bibliotheksgebäuden
023	Personalmanagement
024	[Unbesetzt]
025	Bibliothekarische Tätigkeiten
026	Spezialbibliotheken
027	Allgemeinbibliotheken
028	Lesen und Nutzung anderer Informationsmedien
029	[Unbesetzt]
030	Allgemeinenzyklopädien
031	Enzyklopädien in amerikanischem Englisch
032	Enzyklopädien in Englisch
033	Enzyklopädien in Deutsch und Niederländisch
034	Enzyklopädien in Französisch, Okzitanisch und Katalanisch
035	Enzyklopädien in Italienisch, Rumänisch und Rätoromanisch
036	Enzyklopädien in Spanisch und Portugiesisch
037	Enzyklopädien in slawischen Sprachen
038	Enzyklopädien in skandinavischen Sprachen
039	Enzyklopädien in anderen Sprachen
040	[Unbesetzt]
041	[Unbesetzt]
042	[Unbesetzt]
043	[Unbesetzt]
044	[Unbesetzt]
045	[Unbesetzt]
046	[Unbesetzt]
047	[Unbesetzt]
048	[Unbesetzt]
049	[Unbesetzt]
050	Zeitschriften, allgemeine fortlaufende Sammelwerke
051	Fortlaufende Sammelwerke in amerikanischem Englisch
052	Fortlaufende Sammelwerke in Englisch
053	Fortlaufende Sammelwerke in Deutsch und Niederländisch
054	Fortlaufende Sammelwerke in Französisch, Okzitanisch und Katalanisch
055	Fortlaufende Sammelwerke in Italienisch, Rumänisch und Rätoromanisch
056	Fortlaufende Sammelwerke in Spanisch und Portugiesisch
057	Fortlaufende Sammelwerke in slawischen Sprachen
058	Fortlaufende Sammelwerke in skandinavischen Sprachen
059	Fortlaufende Sammelwerke in anderen Sprachen
060	Allgemeine Organisationen, Museumswissenschaft
061	Allgemeine Organisationen in Nordamerika
062	Allgemeine Organisationen auf den Britischen Inseln; in England
063	Allgemeine Organisationen in Mitteleuropa; in Deutschland
064	Allgemeine Organisationen in Frankreich und Monaco
065	Allgemeine Organisationen in Italien und auf benachbarten Inseln
066	Allgemeine Organisationen auf der Iberischen Halbinsel und benachbarten Inseln
067	Allgemeine Organisationen in Osteuropa; in Russland
068	Allgemeine Organisationen in anderen geografischen Gebieten
069	Museumswissenschaft
070	Publizistische Medien, Journalismus, Verlagswesen
071	Journalismus und Zeitungen in Nordamerika
072	Journalismus und Zeitungen auf den Britischen Inseln; in England
073	Journalismus und Zeitungen in Mitteleuropa; in Deutschland
074	Journalismus und Zeitungen in Frankreich und Monaco
075	Journalismus und Zeitungen in Italien und auf benachbarten Inseln
076	Journalismus und Zeitungen auf der Iberischen Halbinsel und benachbarten Inseln
077	Journalismus und Zeitungen in Osteuropa; in Russland
078	Journalismus und Zeitungen in Skandinavien
079	Journalismus und Zeitungen in anderen geografischen Gebieten
080	Allgemeine Sammelwerke, Zitatensammlungen
081	Sammelwerke in amerikanischem Englisch
082	Sammelwerke in Englisch
083	Sammelwerke in Deutsch und Niederländisch
084	Sammelwerke in Französisch, Okzitanisch und Katalanisch
085	Sammelwerke in Italienisch, Rumänisch und Rätoromanisch
086	Sammelwerke in Spanisch und Portugiesisch
087	Sammelwerke in slawischen Sprachen
088	Sammelwerke in skandinavischen Sprachen
089	Sammelwerke in anderen Sprachen
090	Handschriften, seltene Bücher
091	Handschriften
092	Blockbücher
093	Inkunabeln
094	Gedruckte Bücher
095	Bücher mit besonderem Einband
096	Bücher mit besonderen Illustrationen
097	Bücher aus besonderem Besitz oder besonderer Herkunft
098	Verbotene Werke, Fälschungen, Scherzdrucke
099	Bücher mit besonderem Format
100	Philosophie und Psychologie
101	Theorie der Philosophie
102	Verschiedenes
103	Wörterbücher, Enzyklopädien
104	[Unbesetzt]
105	Fortlaufende Sammelwerke
106	Organisationen, Management
107	Ausbildung, Forschung, verwandte Themen
108	Behandlung nach Personengruppen
109	Histor. Behandlung, Behandlung mehrerer Einzelpersonen
110	Metaphysik
111	Ontologie
112	[Unbesetzt]
113	Kosmologie
114	Raum
115	Zeit
116	Veränderung
117	Struktur
118	Kraft und Energie
119	Zahl und Quantität
120	Epistemologie, Kausalität, Menschheit
121	Epistemologie
122	Kausalität
123	Determinismus, Indeterminismus
124	Teleologie
125	[Unbesetzt]
126	Das Selbst
127	Das Unbewusste, das Unterbewusste
128	Menschheit
129	Ursprung und Schicksal individueller Seelen
130	Parapsychologie und Okkultismus
131	Parapsychologische und okkulte Techniken
132	[Unbesetzt]
133	Einzelne Themen der Parapsychologie und des Okkultismus
134	[Unbesetzt]
135	Träume, Mysterien
136	[Unbesetzt]
137	Divinatorische Graphologie
138	Physiognomie
139	Phrenologie
140	Einzelne philosophische Schulen
141	Idealismus und verwandte Systeme
142	Kritizismus
143	Bergsonismus, Intuitionismus
144	Humanismus und verwandte Systeme
145	Sensualismus
146	Naturalismus und verwandte Systeme
147	Pantheismus und verwandte Systeme
148	Eklektizismus, Liberalismus, Traditionalismus
149	Andere philosophische Systeme
150	Psychologie
151	[Unbesetzt]
152	Sinneswahrnehmung, Bewegung, Emotionen, Triebe
153	Kognitive Prozesse, Intelligenz
154	Unterbewusste und bewusstseinsveränderte Zustände
155	Differentielle Psychologie, Entwicklungspsychologie
156	Vergleichende Psychologie
157	[Unbesetzt]
158	Angewandte Psychologie
159	[Unbesetzt]
160	Logik
161	Induktion
162	Deduktion
163	[Unbesetzt]
164	[Unbesetzt]
165	Fehlschlüsse, Fehlerquellen
166	Syllogismen
167	Hypothesen
168	Argument, Überzeugungung
169	Analogie
170	Ethik
171	Ethische Systeme
172	Politische Ethik
173	Familienethik
174	Berufsethik
175	Ethik von Freizeit und Erholung
176	Sexual- und Reproduktionsethik
177	Ethik sozialer Beziehungen
178	Konsumethik
179	Andere ethische Normen
180	Antike, mittelalterliche und östliche Philosophie
181	Östliche Philosophie
182	Vorsokratische griechische Philosophien
183	Sokratische und verwandte Philosophien
184	Platonische Philosophie
185	Aristotelische Philosophie
186	Skeptische und neuplatonische Philosophien
187	Epikureische Philosophie
188	Stoische Philosophie
189	Mittelalterliche westliche Philosophie
190	Neuzeitliche westliche Philosophie
191	Philosophie in den USA und Kanada
192	Philosophie auf den Britischen Inseln
193	Philosophie in Deutschland und Österreich
194	Philosophie in Frankreich
195	Philosophie in Italien
196	Philosophie in Spanien und Portugal
197	Philosophie in Russland und der früheren Sowjetunion
198	Philosophie in Skandinavien
199	Philosophie in anderen geografischen Gebieten
200	Religion
201	Religiöse Mythologie, Soziallehre
202	Lehren
203	Gottesdienst und andere Formen der öffentlichen Religionsausübung
204	Religiöse Erfahrung, religiöses Leben, religiöse Praxis
205	Religiöse Ethik
206	Religiöse Führer und Organisation
207	Mission, religiöse Erziehung
208	Quellen
209	Sekten, Reformbewegungen
210	Religionsphilosophie, Religionstheorie
211	Gottesvorstellungen
212	Gottesfrage, Gotteserkenntnis, Eigenschaften Gottes
213	Schöpfung
214	Theodizee
215	Naturwissenschaft und Religion
216	[Unbesetzt]
217	[Unbesetzt]
218	Der Mensch
219	[Unbesetzt]
220	Bibel
221	Altes Testament (Tenach)
222	Geschichtsbücher des Alten Testaments
223	Poetische Bücher des Alten Testaments
224	Prophetische Bücher des Alten Testaments
225	Neues Testament
226	Evangelien, Apostelgeschichte
227	Briefe
228	Johannes-Apokalypse (Offenbarung des Johannes)
229	Apokryphen, Pseudepigraphen
230	Christentum, Christliche Theologie
231	Gott
232	Jesus Christus und seine Familie
233	Der Mensch
234	Erlösung, Gnade
235	Geistliche Wesen
236	Eschatologie
237	[Unbesetzt]
238	Glaubensbekenntnisse, Katechismen
239	Apologetik, Polemik
240	Christliche Ethik, spirituelle Theologie
241	Christliche Ethik
242	Erbauungsliteratur
243	Evangelistisches Schrifttum für Einzelpersonen
244	[Unbesetzt]
245	[Unbesetzt]
246	Kunst im Christentum
247	Kirchenausstattung, liturgisches Gerät
248	Christliche Erfahrung, christliche Praxis, christliches Leben
249	Christliches Leben in der Familie
250	Christliche Orden und Ortskirchen
251	Homiletik
252	Predigttexte
253	Pastoraltheologie
254	Gemeindeverwaltung
255	Religiöse Kongregationen und Orden
256	[Unbesetzt]
257	[Unbesetzt]
258	[Unbesetzt]
259	Familienseelsorge, Kategorialseelsorge
260	Soziallehre, Ekklesiologie
261	Soziallehre
262	Ekklesiologie
263	Heilige Tage, Zeiten und Orte
264	Öffentliche Religionsausübung
265	Sakramente, andere Riten und Handlungen
266	Mission
267	Religiöse Verbände
268	Religiöse Erziehung
269	Geistliche Erneuerung
270	Geschichte des Christentums, Kirchengeschichte
271	Religiöse Orden in der Kirchengeschichte
272	Verfolgung in der Kirchengeschichte
273	Dogmatische Kontroversen, Häresie
274	Geschichte des Christentums in Europa
275	Geschichte des Christentums in Asien
276	Geschichte des Christentums in Afrika
277	Geschichte des Christentums in Nordamerika
278	Geschichte des Christentums in Südamerika
279	Geschichte des Christentums in anderen Gebieten
280	Christliche Konfessionen und Sekten
281	Alte Kirche, Ostkirchen
282	Römisch-Katholische Kirche
283	Anglikanische Kirchen
284	Protestanten kontinentaleuropäischen Ursprungs
285	Presbyterianer, Reformierte, Kongregationalisten
286	Baptisten, Disciples of Christ, Adventisten
287	Methodisten und verwandte Kirchen
288	[Unbesetzt]
289	Andere Konfessionen und Sekten
290	Andere Religionen
291	[Unbesetzt]
292	Griechische und römische Religion
293	Germanische Religion
294	Religionen indischen Ursprungs
295	Parsismus
296	Judentum
297	Islam, Babismus, Bahaismus
298	(Optionale Notation)
299	An anderer Stelle nicht vorgesehene Religionen
300	Sozialwissenschaften
301	Soziologie, Anthropologie
302	Soziale Interaktion
303	Gesellschaftliche Prozesse
304	Das Sozialverhalten beeinflussende Faktoren
305	Soziale Gruppen
306	Kultur und Institutionen
307	Gemeinschaften
308	[Unbesetzt]
309	[Unbesetzt]
310	Sammlungen allgemeiner Statistiken
311	[Unbesetzt]
312	[Unbesetzt]
313	[Unbesetzt]
314	Allgemeine Statistiken zu Europa
315	Allgemeine Statistiken zu Asien
316	Allgemeine Statistiken zu Afrika
317	Allgemeine Statistiken zu Nordamerika
318	Allgemeine Statistiken zu Südamerika
319	Allgemeine Statistiken zu anderen Gebieten
320	Politikwissenschaft
321	Staatsformen und Regierungssysteme
322	Beziehungen des Staats zu organisierten Gruppen
323	Grundrechte und politische Rechte
324	Der politische Prozess
325	Internationale Migration, Kolonisation
326	Sklaverei und Sklavenbefreiung
327	Internationale Beziehungen
328	Der Gesetzgebungsprozess
329	[Unbesetzt]
330	Wirtschaft
331	Arbeitsökonomie
332	Finanzwirtschaft
333	Boden- und Energiewirtschaft
334	Genossenschaften
335	Sozialismus und verwandte Systeme
336	Öffentliche Finanzen
337	Weltwirtschaft
338	Produktion
339	Makroökonomie und verwandte Themen
340	Recht
341	Völkerrecht
342	Verfassungs- und Verwaltungsrecht
343	Wehrrecht, Steuerrecht, Wirtschaftsrecht
344	Arbeitsrecht, Sozialrecht, Bildungsrecht, Kulturrecht
345	Strafrecht
346	Privatrecht
347	Zivilprozessrecht, Zivilgerichte
348	Gesetze, Verordnungen, Rechtsfälle
349	Recht einzelner Gebietskörperschaften und Gebiete
350	Öffentliche Verwaltung, Militärwissenschaft
351	Öffentliche Verwaltung
352	Allgemeines zur öffentlichen Verwaltung
353	Einzelne Bereiche der öffentlichen Verwaltung
354	Verwaltung von Wirtschaft und Umwelt
355	Militärwissenschaft
356	Infanterie und Kampfführung
357	Kavalleriestreitkräfte und Kampfführung
358	Luftstreitkräfte und andere spezialisierte Streitkräfte
359	Seestreitkräfte und Kampfführung
360	Soziale Probleme und Sozialdienste; Verbände
361	Soziale Probleme und Sozialhilfe im Allgemeinen
362	Probleme und Dienste der Sozialhilfe
363	Andere soziale Probleme und Sozialdienste
364	Kriminologie
365	Justizvollzugsanstalten und verwandte Einrichtungen
366	Verbände
367	Allgemeine Klubs
368	Versicherungen
369	Verschiedene Arten von Verbänden
370	Bildung und Erziehung
371	Schulen, schulische Tätigkeiten; Sonderpädagogik
372	Primar- und Elementarbildung
373	Sekundarbildung
374	Erwachsenenbildung
375	Curricula
376	[Unbesetzt]
377	[Unbesetzt]
378	Hochschulbildung
379	Bildungspolitik
380	Handel, Kommunikation, Verkehr
381	Handel
382	Internationaler Handel
383	Postverkehr
384	Kommunikation; Telekommunikation
385	Schienenverkehr
386	Binnenschifffahrt, Fährverkehr
387	Schifffahrt, Luft-, Weltraumverkehr
388	Verkehr; Landverkehr
389	Metrologie, Normung
390	Bräuche, Etikette, Folklore
391	Kleidung, äußeres Erscheinungsbild
392	Bräuche im Lebenslauf und im häuslichen Leben
393	Sterbe- und Bestattungsriten
394	Allgemeine Bräuche
395	Etikette (Manieren)
396	[Unbesetzt]
397	[Unbesetzt]
398	Folklore
399	Bräuche des Krieges und der Diplomatie
400	Sprache
401	Sprachphilosophie, Sprachtheorie
402	Verschiedenes
403	Wörterbücher, Enzyklopädien
404	Spezielle Themen
405	Fortlaufende Sammelwerke
406	Organisationen, Management
407	Ausbildung, Forschung, verwandte Themen
408	Behandlung nach Personengruppen
409	Geografische, personenbezogene Behandlung
410	Linguistik
411	Schriftsysteme
412	Etymologie
413	Wörterbücher
414	Phonologie, Phonetik
415	Grammatik
416	[Unbesetzt]
417	Dialektologie, historische Linguistik
418	Standardsprache; Angewandte Linguistik
419	Gebärdensprachen
420	Englisch, Altenglisch
421	Schriftsystem und Phonologie des Englischen
422	Etymologie des Englischen
423	Englische Wörterbücher
424	[Unbesetzt]
425	Englische Grammatik
426	[Unbesetzt]
427	Varianten des Englischen, Mittelenglisch
428	Gebrauch des Standard-Englisch
429	Altenglisch (Angelsächsisch)
430	Germanische Sprachen; Deutsch
431	Schriftsysteme und Phonologie des Deutschen
432	Etymologie des Deutschen
433	Deutsche Wörterbücher
434	[Unbesetzt]
435	Deutsche Grammatik
436	[Unbesetzt]
437	Varianten des Deutschen
438	Gebrauch des Standard-Deutsch
439	Andere germanische Sprachen
440	Romanische Sprachen; Französisch
441	Schriftsysteme und Phonologie des Französischen
442	Etymologie des Französischen
443	Französische Wörterbücher
444	[Unbesetzt]
445	Französische Grammatik
446	[Unbesetzt]
447	Varianten des Französischen
448	Gebrauch des Standard-Französisch
449	Okzitanisch, Katalanisch
450	Italienisch, Rumänisch, Rätoromanisch
451	Schriftsysteme und Phonologie des Italienischen
452	Etymologie des Italienischen
453	Italienische Wörterbücher
454	[Unbesetzt]
455	Italienische Grammatik
456	[Unbesetzt]
457	Varianten des Italienischen
458	Gebrauch des Standard-Italienisch
459	Rumänisch, Rätoromanisch
460	Spanisch, Portugiesisch
461	Schriftsysteme und Phonologie des Spanischen
462	Etymologie des Spanischen
463	Spanische Wörterbücher
464	[Unbesetzt]
465	Spanische Grammatik
466	[Unbesetzt]
467	Varianten des Spanischen
468	Gebrauch des Standard-Spanisch
469	Portugiesisch
